path,suffix,bytes,lines,sha256_12,doc_role,first_title,top_headings,csv_rows,csv_header,json_keys,kw_truth,kw_evidence,kw_mlpe,kw_common_cause,kw_engine_patch,kw_performance,kw_handoff,kw_roadmap,kw_artifact
ONEPAGER.md,.md,8509,108,6f77fdfe37a5,common_cause;operator_handoff,# PV Fault Early-Warning & Diagnosis — ONEPAGER (Conalog),# PV Fault Early-Warning & Diagnosis — ONEPAGER (Conalog) || ## 한 줄 정의 || ## 출력 체계 분리 (운영 vs 평가) || ### local precursor 게이트 원칙 || ### 순위 비교 지표 공통 적용 원칙 || ## 컬럼 출처(Provenance) 레전드,,,,0,3,0,18,3,0,1,0,3
README.md,.md,2206,63,0a2e9c9e3d5f,gpvs_reference;operator_handoff;evidence_matrix;topology_grouping,# pvdiag Release Bundle,# pvdiag Release Bundle || ## 포함된 것 || ## 포함되지 않은 것 || ## 공식 출력 파일명 || ## 최소 실행 순서 || ## 데이터 준비,,,,0,0,0,0,1,0,2,0,6
delivery/conalog_handoff_v1/README.md,.md,1160,28,8f735d10e16a,gpvs_reference;operator_handoff,# Conalog Handoff Pack V1,# Conalog Handoff Pack V1 || ## What This Pack Is || ## Stable vs Experimental || ## Quick Start || ## Smoke Test,,,,0,0,0,3,0,0,7,0,16
docs/DATA_DICTIONARY.md,.md,7433,99,52883dc5c3b9,general_doc,# Data Dictionary (Canonical SSOT),# Data Dictionary (Canonical SSOT) || ## 1) Provenance 레전드 || ## 2) 라벨/날짜 정의 || ## 3) confirmed_fault / final_fault 해석 || ## 4) critical 계층 raw / effective / decision || ## 5) rank_day / 횡단면 비교 해석,,,,0,3,0,0,2,0,0,0,9
docs/EMAIL_KERNELLOG_CROSSCHECK_DRAFT.md,.md,1958,32,eb955c2c6bfc,general_doc,# Conalog Crosscheck Draft,# Conalog Crosscheck Draft || ## 메일 제목 후보 || ## 본문 초안 || ## 전달 포인트,,,,0,1,0,0,0,0,0,0,1
docs/MAIL_GPVS_DATA_USAGE_SUMMARY_V1.md,.md,2729,29,14c3ab4f0eb7,gpvs_reference;release_runtime,# 제목,# 제목 || # 수신 대상 가정 문구 || # 본문 || # 핵심 요약 3줄,,,,0,1,0,3,0,0,0,0,1
docs/OPS_ALERT_EPISODES.md,.md,2619,93,4005e5d604eb,common_cause,# OPS Alert Episodes,# OPS Alert Episodes || ## Purpose || ## Inputs || ## Trigger Modes || ## Episode Definition || ## Episode Fields,,,,0,0,0,1,0,0,0,0,8
docs/OPS_ANOMALY_REGISTRY_SCHEMA_FREEZE_V1.md,.md,6717,180,4ed1e013b0fc,truth_review;project_eval;common_cause;evidence_matrix,# OPS_ANOMALY_REGISTRY_SCHEMA_FREEZE_V1,# OPS_ANOMALY_REGISTRY_SCHEMA_FREEZE_V1 || ## Purpose || ## Why Strict Rows Are Not Human-Facing Units || ## Why Row Identity And Foreign Linkage Are Different Concerns || ## Why Schema And Thresholds/Config Are Separated || ## Why Panel-Local Episode And Common-Cause Incident Are Different Entities,,,,1,15,0,8,0,0,0,0,11
docs/OPS_BACKFILL_IO_CONTRACT_V1.md,.md,2553,109,e957853f558e,gpvs_reference;topology_grouping,# OPS Backfill IO Contract V1,# OPS Backfill IO Contract V1 || ## CLI 입력 계약 || ## 출력 파일 계약 || ### `panel_result_v1.csv` || ### `site_day_summary_v1.csv` || ### `period_summary_v1.csv`,,,,1,1,0,2,0,0,0,0,9
docs/OPS_BASELINE_FREEZE_PACK_V1.md,.md,3050,96,af9f1045b9b0,truth_review;project_eval;evidence_matrix,# OPS_BASELINE_FREEZE_PACK_V1,# OPS_BASELINE_FREEZE_PACK_V1 || ## Purpose || ## Why The Baseline Is Considered Frozen Now || ## Why Gangui Deferred Rows Do Not Invalidate The Current Score || ## Why The Global Precursor Addon Is Still Not Adopted || ## Why Conalog Keeps Only A Site-Specific Precursor Note,,,,2,1,0,0,0,1,0,0,12
docs/OPS_BASELINE_REGRESSION_GUARD_V1.md,.md,3035,99,34e28012d39e,truth_review;project_eval;performance_audit;evidence_matrix,# OPS_BASELINE_REGRESSION_GUARD_V1,# OPS_BASELINE_REGRESSION_GUARD_V1 || ## Purpose || ## Why The Baseline Was Frozen || ## Why This Guard Exists Before Switching Topics || ## What Kinds Of Drift Are Acceptable Versus Unacceptable || ## How To Respond If `drift_detected` Appears,,,,1,0,0,0,0,2,0,0,11
docs/OPS_COMMON_CAUSE_INCIDENT_GATE_AUDIT_V1.md,.md,3076,78,e49aed962189,gate_contract;truth_review;common_cause,# OPS_COMMON_CAUSE_INCIDENT_GATE_AUDIT_V1,# OPS_COMMON_CAUSE_INCIDENT_GATE_AUDIT_V1 || ## Purpose || ## Why Zero Real Incidents Is A Critical Diagnostic Result || ## Why Synthetic Pass Is Not Enough || ## How `schema_default` Differs From The Precursor-Like Tiers || ## What Result Would Justify Changing Defaults,,,,1,5,0,5,0,0,0,0,10
docs/OPS_COMMON_CAUSE_INCIDENT_REGISTRY_V1.md,.md,3134,86,687f370e9b00,truth_review;common_cause;evidence_matrix,# OPS_COMMON_CAUSE_INCIDENT_REGISTRY_V1,# OPS_COMMON_CAUSE_INCIDENT_REGISTRY_V1 || ## Purpose || ## Why Incident Registry Is Implemented Before Panel-Local Episode Registry || ## Why Event/Episode Layers Are Not Used As Primary Incident Generators || ## How Candidate Days Are Formed From Grouped Zero-Like Evidence || ## How Day-To-Day Group Overlap Controls Incident Merging,,,,1,9,0,9,0,0,0,0,8
docs/OPS_COMMON_CAUSE_PRECURSOR_AUDIT_V1.md,.md,4146,156,3904105ec962,common_cause;maintenance_proxy,# OPS_COMMON_CAUSE_PRECURSOR_AUDIT_V1,# OPS_COMMON_CAUSE_PRECURSOR_AUDIT_V1 || ## Purpose || ## Why One-Site Evidence Is Not Enough || ## Full Site-Day Universe || ## Precursor Features || ## Fixed Audit Tiers,,,,1,4,0,5,0,19,0,0,9
docs/OPS_COMMON_CAUSE_PRECURSOR_CASE_FORENSICS_V1.md,.md,5021,142,de0640f36de1,gate_contract;common_cause,# OPS_COMMON_CAUSE_PRECURSOR_CASE_FORENSICS_V1,# OPS_COMMON_CAUSE_PRECURSOR_CASE_FORENSICS_V1 || ## Purpose || ## Why Precursor Audit V1 Was Not Enough || ## Why Case-By-Case Forensics Is The Right Next Step || ## Forensic Hypotheses || ### Plausible Precursor Day,,,,0,3,0,6,0,0,0,0,10
docs/OPS_COMMON_CAUSE_PRECURSOR_DECISION_PACK_V1.md,.md,4406,127,1a71f34eb0ac,common_cause;evidence_matrix;maintenance_proxy,# OPS_COMMON_CAUSE_PRECURSOR_DECISION_PACK_V1,# OPS_COMMON_CAUSE_PRECURSOR_DECISION_PACK_V1 || ## Purpose || ## Why The Line Moved From Maintenance To Common-Cause Precursor || ## Decision Basis || ## Why Global Adoption Is Not Justified Yet || ## Why Conalog May Still Deserve A Site-Specific Precursor Note,,,,0,2,0,12,0,4,0,0,18
docs/OPS_CONALOG_HANDOFF_PACK_V1.md,.md,2047,46,b2febfd68c9e,gpvs_reference;operator_handoff;release_runtime;evidence_matrix;topology_grouping,# OPS Conalog Handoff Pack V1,# OPS Conalog Handoff Pack V1 || ## 목적 || ## 문서 경계 || ## 실행 entrypoint || ## stable mode || ## reference mode,,,,0,0,0,1,1,0,6,0,12
docs/OPS_CONALOG_MLPE_RUNTIME_REDESIGN_V1.md,.md,54468,1338,f35e113f3f30,release_runtime,# OPS Conalog MLPE Runtime Redesign V1,# OPS Conalog MLPE Runtime Redesign V1 || ## 1. 목적 || ## 2. 범위 || ## 3. 기본 전제 || ## 4. 회의록에서 확인된 상위 요구 || ## 5. 해석 철학,,,,10,84,32,12,5,2,1,2,51
docs/OPS_CONALOG_RULEBASE_VS_HYBRID_ENGINE_V1.md,.md,7460,63,3081b532db59,decision_log;gate_contract;project_eval;performance_audit;gpvs_reference;operator_handoff;release_runtime;evidence_matrix;topology_grouping,# OPS Conalog Rulebase Vs Hybrid Engine V1,# OPS Conalog Rulebase Vs Hybrid Engine V1 || ## 1. 비교 목적 || ## 1A. 문서 경계 || ## 2. 입력 데이터 범위 차이 || ## 3. 탐지/판정 구조 차이 || ## 4. 설명 가능성 차이,,,,0,5,0,9,0,1,10,0,12
