preview_attention_class,site,display_entity_id,display_start_date,display_end_date,display_span_or_day_count,display_shape_or_cluster_kind,display_status_or_tier,display_score,linked_ref_flag,truth_ref_flag,cluster_panel_count,changed_since_previous_flag,latest_delta_source,latest_delta_class,latest_delta_reason_ko,digest_reason_ko,workflow_policy_name,workflow_role,workflow_priority_class,workflow_reason_ko
queue_run,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.12,2026-02-11,2026-02-11,1,short_alert_run,ongoing_run,9.244065985713108,0,0,1,0,none,,,current queue_run item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,primary_attention,queue_priority,기본 queue attention
queue_run,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.7,2026-02-18,2026-02-19,2,short_alert_run,ongoing_run,8.548559738206253,1,0,1,0,none,,,current queue_run item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,primary_attention,queue_priority,기본 queue attention
queue_run,conalog,c42997a6-5881-47e7-9035-7de8a2673b54.0.1,2026-02-15,2026-02-18,4,medium_alert_run,ongoing_run,5.766138592917966,0,0,1,0,none,,,current queue_run item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,primary_attention,queue_priority,기본 queue attention
queue_run,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.1.12,2026-02-07,2026-02-19,13,chronic_alert_run,ongoing_run,5.7198876111621075,0,0,1,0,none,,,current queue_run item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,primary_attention,queue_priority,기본 queue attention
queue_run,sinhyo,43269809-c7ab-4f87-b228-095e2785c744.1.4,2026-02-12,2026-02-16,5,medium_alert_run,ongoing_run,4.933262216137523,0,0,1,0,none,,,current queue_run item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,primary_attention,queue_priority,기본 queue attention
queue_run,sinhyo,43269809-c7ab-4f87-b228-095e2785c744.1.5,2026-02-12,2026-02-16,5,medium_alert_run,ongoing_run,4.210022250819412,0,0,1,0,none,,,current queue_run item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,primary_attention,queue_priority,기본 queue attention
queue_run,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.5.4,2026-02-15,2026-02-19,5,medium_alert_run,ongoing_run,2.887934761625337,0,0,1,0,none,,,current queue_run item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,primary_attention,queue_priority,기본 queue attention
watch_now_panel,ktc_ess,70ad2d87-cdb6-4842-81b7-71c7599bbf05.1.4,2025-04-14,2025-04-30,17,chronic_alert_run,watch_now,12.635115877851456,1,0,1,0,none,,,current watch_now_panel item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,primary_attention,watch_priority,기본 watch attention
watch_now_panel,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,2025-11-08,2025-11-18,11,chronic_alert_run,watch_now,11.698734151421789,0,0,1,0,none,,,current watch_now_panel item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,primary_attention,watch_priority,기본 watch attention
watch_now_panel,conalog,c42997a6-5881-47e7-9035-7de8a2673b54.0.0,2025-01-23,2025-02-07,16,chronic_alert_run,watch_now,9.342491414600548,0,0,1,0,none,,,current watch_now_panel item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,primary_attention,watch_priority,기본 watch attention
watch_now_panel,conalog,45dfa600-79b7-428e-95d3-22345a068986.2.0,2025-03-26,2025-04-11,17,chronic_alert_run,watch_now,7.353862945147238,0,0,1,0,none,,,current watch_now_panel item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,primary_attention,watch_priority,기본 watch attention
watch_now_panel,sinhyo,af126597-828b-4ed4-8d9c-3e32bf5c6e9e.4.4,2026-01-05,2026-01-14,10,chronic_alert_run,watch_now,7.147061861675349,0,0,1,0,none,,,current watch_now_panel item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,primary_attention,watch_priority,기본 watch attention
watch_now_panel,conalog,45dfa600-79b7-428e-95d3-22345a068986.1.0,2025-12-05,2025-12-15,11,chronic_alert_run,watch_now,7.02242340604254,0,0,1,0,none,,,current watch_now_panel item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,primary_attention,watch_priority,기본 watch attention
watch_now_panel,sinhyo,af126597-828b-4ed4-8d9c-3e32bf5c6e9e.4.5,2025-01-05,2025-01-15,11,chronic_alert_run,watch_now,6.491273929736413,0,0,1,0,none,,,current watch_now_panel item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,primary_attention,watch_priority,기본 watch attention
watch_now_panel,conalog,c42997a6-5881-47e7-9035-7de8a2673b54.2.0,2025-04-07,2025-04-21,15,chronic_alert_run,watch_now,6.391990839009163,0,0,1,0,none,,,current watch_now_panel item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,primary_attention,watch_priority,기본 watch attention
watch_now_panel,ktc_ess,e089076c-92c1-4365-8641-2182b4f274e6.0.1,2025-08-16,2025-08-27,12,chronic_alert_run,watch_now,3.825935361375034,0,0,1,0,none,,,current watch_now_panel item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,primary_attention,watch_priority,기본 watch attention
watch_now_panel,ktc_ess,e089076c-92c1-4365-8641-2182b4f274e6.0.2,2025-08-16,2025-08-27,12,chronic_alert_run,watch_now,3.717724120789715,0,0,1,0,none,,,current watch_now_panel item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,primary_attention,watch_priority,기본 watch attention
watch_now_panel,ktc_ess,e089076c-92c1-4365-8641-2182b4f274e6.0.5,2025-08-16,2025-08-27,12,chronic_alert_run,watch_now,3.680275111862274,0,0,1,0,none,,,current watch_now_panel item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,primary_attention,watch_priority,기본 watch attention
secondary_value_cluster,conalog,conalog_cluster_002,2025-12-23,2025-12-23,1,discovery_cluster,secondary_discovery_cluster,17.282790522027085,1,0,1,0,none,,,current secondary_value_cluster item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,supplemental_discovery,discovery_priority,기본 workflow에 포함된 discovery cluster
secondary_value_cluster,conalog,conalog_cluster_001,2025-05-09,2025-05-09,1,discovery_cluster,secondary_discovery_cluster,17.28279030010019,1,0,1,0,none,,,current secondary_value_cluster item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,supplemental_discovery,discovery_priority,기본 workflow에 포함된 discovery cluster
secondary_value_cluster,gangui,gangui_cluster_003,2025-11-17,2025-11-27,11,discovery_cluster,secondary_discovery_cluster,17.203361664330053,1,0,8,0,none,,,current secondary_value_cluster item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,supplemental_discovery,discovery_priority,기본 workflow에 포함된 discovery cluster
secondary_value_cluster,gangui,gangui_cluster_002,2025-07-16,2025-07-17,2,discovery_cluster,secondary_discovery_cluster,12.918087686819952,1,0,1,0,none,,,current secondary_value_cluster item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,supplemental_discovery,discovery_priority,기본 workflow에 포함된 discovery cluster
secondary_value_cluster,gangui,gangui_cluster_001,2025-06-22,2025-06-24,3,discovery_cluster,secondary_discovery_cluster,10.185707247243844,1,0,1,0,none,,,current secondary_value_cluster item이며 직전 snapshot 대비 변화 없음,baseline_plus_discovery_cluster,supplemental_discovery,discovery_priority,기본 workflow에 포함된 discovery cluster
